c_early,makespan,total_cost
0,190.16262324230667,590802.4753402997
0,225.17080111376853,548188.8751831977
0,229.248995879439,545618.2557615933
0,210.4467060267642,560388.5139915869
0,194.36126742243826,581784.0590588395
0,202.53408832628125,569515.8240999834
0,207.25392446322488,563778.1186409163
0,210.00102076999977,561044.7215085158
0,227.13848761046668,546875.5063001541
0,244.85041632544286,536911.78344365
0,211.3100997983357,559641.0618733999
0,199.40945714796095,573708.5560416632
0,262.7946263665697,531948.0677151792
0,186.8666869309024,597985.3316349862
0,220.1287598124162,552633.7887168988
0,200.79500799390212,571502.3263140223
0,199.5421963428835,573116.282337484
0,188.24387826129947,593747.9680667082
0,191.86960474358057,587580.7057389806
0,239.4994948700727,539150.2298545919
0,247.49114298291676,536025.2509174243
0,243.9062272502433,537194.618644073
0,247.78796436165302,535874.5494596628
0,206.6372573608787,564293.3001819956
0,219.59279876753774,553051.9209813455
0,237.91312116576069,539929.6892718743
0,215.7504186188982,555755.2659302881
0,189.46795637865156,590987.7315350682
0,189.77229942449657,590853.4099553607
0,203.70769612964605,568247.7559151312
0,199.45925802577835,573539.2401732393
0,219.9678352011468,552679.2444998139
0,233.18316760476426,543116.0842564921
0,190.3522018660867,589923.7577225367
0,186.24530858328828,599386.6744301827
0,219.38783152310006,553312.688183379
0,218.4411044568807,553597.808414931
0,199.92714843154843,572221.6037297527
0,255.24503405091139,533960.0634973053
0,188.74579003124884,592824.2704656497
0,235.04645892310666,541849.1275936922
0,225.8917899289337,547826.5693762184
0,231.11832187157285,544564.6447485525
0,188.21968203872356,594230.4737641776
0,244.77088713105027,537113.639102419
0,224.68964353509773,548777.5321225609
0,203.18305264689317,568960.1706531444
0,227.08782879216201,547049.8593679281
0,188.39130611938904,593345.8497849609
0,233.31873986436327,542962.2917106906
0,222.36840069644538,550811.689479964
0,250.91500913103917,534949.7349382719
0,206.03147451936633,564984.3674794878
0,227.0836078131642,547142.8665361095
0,198.82913100879443,574437.4969386188
0,230.57445085775836,544901.615457946
0,246.69289065027897,536227.4982431866
0,227.00723081705618,547395.8024095297
0,204.66277989053242,566990.0737866475
0,223.2159715519559,549928.5535149837
0,207.85101854864487,563292.1983493483
0,261.2732338132533,532442.5996509441
0,219.30663208796585,553314.9024120696
0,239.17558616597046,539286.8734724668
0,248.6228347082257,535592.8148645705
0,214.05834448243493,557449.8869950498
0,231.57636185444002,544150.4957498501
0,193.5598179781576,584316.8638466693
0,231.04332669002244,544676.6133529411
0,232.79605202236866,543315.1958443036
0,253.862871755553,534005.9609613554
0,206.92112476706458,564026.9505693867
0,213.6842299435471,557901.5567728255
0,209.00485767289624,561955.4570952627
0,223.62219147093384,549549.9653184477
0,241.93722365937944,537995.4087154892
0,250.91446174300177,535061.3399132597
0,267.56406054287095,530926.5846675865
0,192.4554063070897,586888.7501746139
0,261.3443524447198,532370.7361414161
0,195.40336118818948,580398.2827280107
0,217.45093418963876,554664.1310627009
0,190.92837337821135,589500.6205976598
0,265.21280307099323,531395.2869692312
0,194.99078498937487,580946.622091782
0,202.21222661923073,569996.6585822541
0,196.70289957989968,577802.2507445579
0,187.12282144101894,596573.051194347
0,214.56097161194756,557275.648509567
0,210.45809839472892,560377.8660118873
0,221.00284569211797,551992.7692201824
0,236.48000557166688,541249.1341300632
0,237.86196617995287,539947.201739527
0,249.43539766649707,535370.9637789119
0,215.34942040428396,556251.6997086535
0,263.9591923589177,531562.0783688212
0,243.9953595046455,537180.9870425242
0,258.45298228852766,532957.9644087966
0,239.72480991655505,538964.7144143865
0,263.2489418584384,531792.0258877568
0,207.33922418784732,563704.4175922396
0,211.86106689208077,558848.2779447739
0,186.506778613313,598956.4411584213
0,209.57349847178676,561539.4114753521
0,197.33691089922118,577003.6693450707
0,233.29568627809027,543087.722782006
0,255.83266998818917,533842.8353652554
0,231.38276883352822,544393.643622103
0,192.6864424136181,586117.9055163974
0,186.32250996478334,599371.7235206005
0,245.44985659920647,536671.4288338728
0,192.57760031578928,586430.6143648592
0,187.61221095501946,595241.0321341908
0,232.23402170254647,543655.7541321288
0,189.60886848893637,590877.6610752202
0,238.89461565511547,539342.7566399855
0,202.94483827353926,569196.1905220753
0,232.1539035381856,543778.1343688506
0,243.5599308500878,537320.0920203623
0,212.63011687091276,558264.6543610303
0,208.1534216607963,562872.5722452204
0,241.47982600320034,538430.7079319688
0,245.52687441641885,536622.7703077948
0,253.18464988958303,534462.1743956588
0,222.7883466215072,550217.1142650726
0,240.0036817282938,538612.8029734457
0,235.54023589263852,541641.0520494847
0,210.0799107941144,560928.3471808867
0,236.29476055455615,541398.6812863606
0,262.1627746317595,532174.2505710381
0,247.79786689941085,535814.5664359318
0,195.71848220227707,579335.0563888146
0,231.93892824654316,544022.5941937431
0,200.89268113294114,571300.990837855
0,217.29779137235403,554707.0157449708
0,265.7627662631552,531267.1497812755
0,207.0049501434248,563962.5919532276
0,192.14195977399842,587569.1055872814
0,196.35127526810012,578359.4360029872
0,227.34868837876303,546485.1834741035
0,256.7112805500082,533483.1786336796
0,263.92044005089963,531691.6495616246
0,257.53224860226993,533413.5111416926
0,242.905513360479,537363.1220184462
0,202.9995105839886,569023.4889248975
0,203.63728595178281,568275.3413186322
0,247.22084289118226,536157.022230101
0,217.57203621380864,554365.4993674618
0,214.6083981125746,557121.3877714769
0,246.50234555546677,536414.244309552
0,200.59688789359112,571872.70344806
0,192.14572502292796,587477.6049274816
0,204.72954059670658,566878.0593669007
0,210.46322072287646,559861.8758499629
0,186.76271949972434,597992.6391694227
0,243.53836182429106,537327.8450571244
0,236.77932532651042,540704.1923989074
0,198.5277391069019,574629.3129774973
0,251.87032644368804,534524.2959804225
0,228.2901823505382,546055.3084162589
0,205.72826594432723,565334.891432385
0,196.28553917285896,578411.9600894456
0,232.8145925248297,543281.2220208358
0,209.19624902522636,561543.8512435234
0,193.01264969418267,585759.6173470843
0,215.75390260092888,555523.2943580998
0,221.0929318411403,551604.8895583644
0,211.86989046613763,558841.7706498143
0,242.18602039444394,537910.030100573
0,193.89615821911215,583614.143563804
0,187.5148731214719,596036.699978237
0,216.3088787255845,554852.0984405547
0,188.3863609628809,593348.7079149092
0,186.97618215201933,597335.2883540096
0,209.14942094410304,561868.9217864776
0,226.96129100126782,547421.2773385991
0,245.0107309394429,536877.8077990746
0,200.4433603700677,572138.5312196404
0,202.63816026951915,569423.9009673492
0,233.77828639332893,542561.8581628435
0,240.55879263549605,538432.5816234278
0,249.55112980356586,535283.2533338317
0,197.75531478115326,575766.5803048343
0,202.54539776853554,569507.8977943725
2000,186.8749757630728,351451.6872126219
2000,191.15614533780038,351351.74859882076
2000,198.25992041593446,351869.7161549936
2000,190.84423692627055,351459.11642424145
2000,190.85249040259896,351461.8877389412
