alpha,makespan,labor_cost
0.3,249.25899935373783,590570.1671155038
0.3,232.87044292678516,631967.3429106851
0.3,231.19038515698878,637426.343653081
0.3,223.41681445707135,674205.8502771199
0.3,233.14328730106,630505.5906772015
0.3,234.1211138667694,626791.1672860037
0.3,242.8614602886555,604129.7729203766
0.3,239.9080252114696,611227.6502768064
0.3,231.7700374692611,635740.5705693708
0.3,246.86679863301276,595820.4686069059
0.3,246.56407982584284,596201.4723762276
0.3,234.650338456036,624949.6616216083
0.3,243.95558155993845,601537.0959005638
0.3,242.92977022703855,603771.2977025625
0.3,228.74192797153586,648547.2678476744
0.3,226.68385164238958,657240.5308304605
0.3,234.87827680925835,624814.8016701326
0.3,243.26568205496673,602276.388901461
0.3,231.1074134075771,638277.5470710361
0.3,227.20840848164158,654773.7996624117
0.3,232.86887856370305,631968.2933254875
0.3,221.37426858850475,686912.318223146
0.3,236.1230671069168,620542.349863
0.3,246.2317716597855,596589.2671468224
0.3,249.08422080484027,591189.264131128
0.3,234.3951575381026,625869.9401915004
0.3,232.05670975558596,634533.5558913341
0.3,233.8093980375827,627765.9090797445
0.3,253.56052444887413,583478.668330761
0.3,223.93616382696425,672177.45794014
0.3,232.6146536811703,632437.7107077073
0.3,251.98728344290006,585856.9624208969
0.3,238.46334895164443,614917.2371103776
0.3,263.4603427652327,568803.8641579375
0.3,241.92321035318068,606560.4684602061
0.3,221.80847575240395,683652.243958368
0.3,254.17006020836797,582255.5899591718
0.3,233.40420175795512,628886.1325499981
0.3,230.77950135100264,639492.9619630892
0.3,227.539978016518,653140.3268784572
0.3,223.61249613907958,672724.9111026137
0.3,245.67696291683365,597739.7580760631
0.3,224.41406011724362,670361.1121061813
0.3,220.78185268307666,690478.8850213194
0.3,228.53393534199864,648573.4283812064
0.3,229.73640303521978,644483.160510747
0.3,261.42007063208615,572103.4109725025
0.3,261.56103512912284,571566.2069641047
0.3,251.24396844381457,586799.1144839259
0.3,227.863619359912,652569.8651530084
0.3,246.05624392782428,597026.2981886857
0.3,243.91083923315682,601923.5627589321
0.3,226.27559921468603,659397.257865536
0.3,229.14853381561232,646764.9028855364
0.3,221.76617423116156,683929.8075261705
0.3,239.68131943084944,612128.7845586918
0.3,222.53073411416054,679632.3775309676
0.3,221.18913773499665,688150.5527964779
0.3,231.5602080859803,636027.8998000764
0.3,247.4533439809559,594513.9466861826
0.3,229.8768310646799,643261.9737971039
0.3,234.42415570712723,625867.07516364
0.3,220.92675953659545,689281.8221921343
0.3,225.13549878232396,665510.3064399145
0.3,258.9113493224992,576459.8861156455
0.3,239.63605635090548,612250.0324987317
0.3,226.70788269474048,656743.5173591464
0.3,242.53718328792414,605037.2046100249
0.3,262.491217772191,570297.4591179922
0.3,267.5731854492781,566214.8314115126
0.3,229.58406114940263,645307.1996628335
0.3,235.91834849975356,621726.3832620978
0.3,232.38019679058024,633026.8975612805
0.3,249.06933180070783,591253.4353143789
0.3,246.1888889786884,596767.8802407526
0.3,262.8221963645926,569487.7066991088
0.3,248.61085398717185,591488.6325758764
0.3,235.5402963660722,622765.5984112879
0.3,241.35091331577829,607621.2196883252
0.3,223.93881335115802,672062.451066972
0.3,234.3281291944098,626459.8138298141
0.3,230.54197203518373,640671.4827929027
0.3,263.3515627844779,569237.30318985
0.3,239.9092431800083,611214.2601916912
0.3,252.36036041598155,585451.7923806157
0.3,242.83756236534205,604287.4168047038
0.3,250.55130093425782,588016.5942738074
0.3,227.03396269030145,655869.4794967357
0.3,222.45492531182643,680441.2306242725
0.3,264.14130740674784,567877.3496040056
0.3,244.9202041956487,599393.4226857492
0.3,244.92757009353292,599013.2841620748
0.3,228.33183133865077,650244.4657345323
0.3,231.0930739576633,638336.1208568771
0.3,247.8625608550869,592967.0195624643
0.3,259.6194056530246,574899.0839581884
0.3,253.08074480202987,584400.847375999
0.3,253.6379188670035,583434.0508740079
0.3,229.84846614419072,643472.2180451236
0.3,259.2713526649864,575905.7103205174
0.3,247.14319883066852,594631.9347448868
0.3,263.384081206631,569218.3641840629
0.3,231.01376969259664,638363.130260034
0.3,234.1172208509664,627567.583100497
0.3,241.86534432687876,606676.8340234177
0.3,265.60421026197986,567248.7668962758
0.3,267.622964303708,566167.4784943361
0.3,236.45707114941757,620310.9243927803
0.3,249.88153996272237,589209.2933533593
0.3,228.33563153301898,650165.4187928886
0.3,221.95517986102368,683159.0963473698
0.3,262.68575957849333,569597.5047698043
0.3,231.01096634326026,639000.8894652056
0.3,222.7423684206407,677655.0303311027
0.3,224.74673255188685,669545.2170197523
0.3,261.99956572515043,571210.1721044426
0.3,267.68700642498436,566091.353909415
0.3,246.1678044500526,596812.8701775401
0.3,250.6058672774916,587991.1036131292
0.3,258.8741311495448,576824.2105024026
0.3,232.94013138481492,631271.7032404232
0.3,226.1362813499112,659709.726611403
0.3,223.37781886847304,674738.7879270781
0.3,244.82132750324328,599895.8979470154
0.3,253.29296500798162,583810.2212925988
0.3,224.8321100329001,666609.4133704869
0.3,255.5083729595515,580414.5509689806
0.3,262.52771911519113,569929.4481952528
0.3,238.4070418920249,615079.4449518868
0.3,235.75363337623023,622321.757944653
0.3,223.92389000681814,672196.438850068
0.3,250.17075513369517,588387.1380022032
0.3,248.42717203759253,591961.9626015209
0.3,236.39434675869833,620375.1372630002
0.3,231.26717350002914,637175.0554893005
0.3,257.36649681924547,578314.0917250721
0.3,231.00967316962937,639063.0299627618
0.3,226.44248769364503,657381.0989742668
0.3,228.12355476475847,652086.409502407
0.3,226.8738094433226,656587.1965690806
0.3,234.38538231961374,625981.7759432724
0.3,237.14680659468925,618217.8841151474
0.3,232.99780747536684,631044.7106830623
0.3,232.080161496846,634187.9324329835
0.3,247.19367979203804,594518.0879033746
0.3,249.62205268917103,589713.8990989219
0.3,254.98563763096217,581259.5463754744
0.3,225.32674353176853,664005.3311611752
0.3,246.61612264379085,596134.7911482059
0.3,260.39482524480223,573454.2563155454
0.3,259.23505213664305,576263.9153953578
0.3,228.9876954134678,646884.8936460093
0.3,230.01696478375362,643178.727930743
0.3,239.95857718955628,610992.0288473319
0.3,248.73422866788167,591485.5627820706
0.3,242.85474186189293,604149.3631546181
0.3,233.15950695940435,630232.5971124071
0.3,257.4098756513807,578008.0269301235
0.3,241.4572140343282,607611.4186247588
0.3,222.88100015996173,676672.7587917224
0.3,262.8577599521789,569275.148552319
0.3,231.30753396370926,637081.855489131
0.3,253.1580936551001,584116.6472729169
0.3,240.8124781185,609005.8069939576
0.3,254.7488988864526,581413.9235825203
0.3,244.85435082731348,599519.8387907712
0.3,242.54518390555737,604338.43459608
0.3,253.65990768620063,583400.8133645897
0.3,222.59675896937662,679622.0266620731
0.3,223.60106194347208,673668.9870258877
0.3,238.65026822648673,614568.2783093142
0.3,225.96883265671426,660320.7447475964
0.3,232.50259390831775,632574.9450095374
0.3,231.35186885220443,637010.6041756732
0.3,253.7884461564155,582464.8844118356
0.3,240.2015209653658,610420.0742681233
0.3,253.6081500875873,583463.5846546539
0.3,238.7823315131665,613567.6340495854
0.3,233.62138697392612,628314.6615214522
0.3,263.44413417034184,568914.358538307
0.3,240.48423697094847,609590.1743283242
0.3,224.48048915951193,669789.0469373218
0.3,249.34398677590286,590522.3284764171
0.3,228.3268054904276,650249.5441381423
0.3,252.2460101851146,585725.1250822356
0.3,233.32491313317533,629253.1720495191
0.3,240.94422425546125,608992.9295416538
0.3,254.989716366161,581044.2534694895
0.3,238.30481048760288,615157.5952630206
0.3,231.5571354493503,636570.3449813806
0.3,250.93429602712897,587427.6525891623
0.3,252.33909306811483,585670.9193165309
0.3,255.03849871677554,580732.907291492
0.3,238.81511860374994,613326.5315048902
0.3,263.66153135191536,568454.9894208189
0.3,254.86271850814995,581381.8462258903
0.3,243.85624947485329,602033.2558092126
0.3,261.92009637180814,571247.356725198
0.3,247.8125783811334,593079.308554692
0.3,257.2340953741873,578435.2639586887
0.3,259.9538595946046,574300.9794666767
0.3,235.8936003300759,621746.4366809274
0.3,258.9207511690487,576458.1319009773
0.3,265.9418857914637,566378.2544680565
0.3,262.51474202794384,569931.1524043824
0.3,244.91326325869025,599466.1253924286
0.3,258.2233325313805,577168.0935950647
0.3,234.02588007160796,627694.3607068494
0.3,232.1636136631303,633558.8667191197
0.3,238.7401330106585,613876.002794249
0.3,220.62574702153142,690944.2721446519
0.3,269.1954947511772,564286.4095240862
0.3,229.70292128034532,644526.3501148578
0.3,236.75144117366997,619249.471389813
0.3,237.11200422064508,618383.6979334969
0.3,245.98597829855186,597032.5168746484
0.3,224.74895919312735,667406.358152228
0.3,255.75764509449567,579454.1322017047
0.3,231.9822786248575,634669.2971780573
0.3,240.0124740785965,610977.5734920662
0.3,239.25975274400471,613314.3995778137
0.3,245.28848546024722,597855.8658779585
0.3,263.4693428847014,568793.518981736
0.3,233.98227509825537,627747.9044090107
0.3,232.71428711228387,632103.602537228
0.3,235.70008273398585,622671.2120184018
0.3,237.33689200553337,617243.6531169169
0.3,239.3493438702627,612794.5132048327
0.3,259.79538270445596,574871.4045386587
0.3,240.31870710593066,610301.5665782107
0.3,232.8780869104114,631519.7173005182
0.3,236.18608826964225,620536.3285480354
0.3,253.35963519237697,583580.019831124
0.3,252.57313310985268,585113.1030976477
0.3,228.8133849653975,648176.8343373004
0.3,222.1329855520552,681427.8646322334
0.3,255.5058590156627,580587.6034722973
0.3,254.46500464836834,582080.9454705507
0.3,241.07432385831262,607784.891819096
0.3,222.51306597602994,680278.7497666504
0.3,235.7953031347317,622161.6186596423
0.3,234.45873185215484,625393.6766631599
0.3,230.21394464820895,640797.1733932048
0.3,220.81334386398427,689386.9770654633
0.3,243.90983635777974,601941.4580365429
0.3,253.63775525224054,583449.89293672
0.3,251.973071740044,586099.4500660987
0.3,230.81895691160233,639409.2443611473
0.3,231.1338891194219,638230.6671919993
0.3,235.98554401110138,621348.6921829163
0.3,247.73344075551697,593270.423395174
0.3,246.14229938850585,596915.5576394659
0.3,240.99684331956152,608450.0439475767
0.3,250.80502915675598,587794.3921118783
0.3,251.0238238782937,587039.9266325721
0.3,222.24937395769015,681403.0145982148
