c_late,makespan,total_cost
2000,206.51805808818543,357630.802008679
2000,245.25026727973753,407200.7375091177
2000,252.92813805126008,420373.91242870956
2000,188.3815152093574,350124.0336092785
2000,238.17832012320744,396276.15208272735
2000,190.16262324230667,351127.721824913
2000,225.17080111376853,378530.47741073475
2000,229.248995879439,384116.24752047134
2000,210.4467060267642,361281.9260451152
2000,194.36126742243826,350506.59390371596
2000,202.53408832628125,354584.00075254595
2000,207.25392446322488,358285.9675673661
2000,210.00102076999977,361046.7630485153
2000,227.13848761046668,381152.48152108747
2000,244.85041632544286,406612.61609453574
2000,211.3100997983357,362261.2614700713
2000,199.40945714796095,352527.4703375851
2000,262.7946263665697,437537.3204483185
2000,186.8666869309024,351718.70549679105
2000,220.1287598124162,372891.3083417312
2000,200.79500799390212,353092.3423018266
2000,199.5421963428835,352200.675023251
2000,188.24387826129947,350235.7245893071
2000,191.86960474358057,351319.9152261417
2000,239.4994948700727,398149.2195947373
2000,247.49114298291676,411007.53688325785
2000,243.9062272502433,405007.07314455963
2000,247.78796436165302,411450.4781829688
2000,206.6372573608787,357567.814903753
2000,219.59279876753774,372237.51851642097
2000,237.91312116576069,395755.9316033956
2000,215.7504186188982,367256.1031680845
2000,189.46795637865156,349923.64429237135
2000,189.77229942449657,350398.0088043538
2000,203.70769612964605,355663.14817442326
2000,199.45925802577835,352457.75622479594
2000,219.9678352011468,372614.9149021075
2000,233.18316760476426,389482.41946602066
2000,190.3522018660867,350628.16145471006
2000,186.24530858328828,351877.2915967592
2000,219.38783152310006,372088.35122957913
2000,218.4411044568807,370480.01732869237
2000,199.92714843154843,352075.9005928496
2000,255.24503405091139,424450.131599128
2000,188.74579003124884,350315.85052814736
2000,235.04645892310666,391942.0454399055
2000,225.8917899289337,379610.14923408575
2000,231.11832187157285,386801.28849169816
2000,188.21968203872356,350669.83784162474
2000,244.77088713105027,406655.4133645196
2000,224.68964353509773,378156.8191927563
2000,203.18305264689317,355326.27594693075
2000,227.08782879216201,381225.51695225213
2000,188.39130611938904,350128.46202373895
2000,233.31873986436327,389599.77143941715
2000,222.36840069644538,375548.4908728547
2000,250.91500913103917,416779.7532003503
2000,206.03147451936633,357047.31651822047
2000,227.0836078131642,381310.0821624379
2000,198.82913100879443,352095.75895620766
2000,230.57445085775836,386050.51717346266
2000,246.69289065027897,409613.2795437446
2000,227.00723081705618,381410.2640436421
2000,204.66277989053242,356315.6335677124
2000,223.2159715519559,376360.49661889556
2000,207.85101854864487,358994.235446638
2000,261.2732338132533,434989.0672774507
2000,219.30663208796585,371928.1665880013
2000,239.17558616597046,397638.04580440774
2000,248.6228347082257,412838.48428102187
2000,214.05834448243493,365566.5759599196
2000,231.57636185444002,387303.2194587301
2000,193.5598179781576,351436.49980298453
2000,231.04332669002244,386763.26673298597
2000,232.79605202236866,388907.2998890409
2000,253.862871755553,421731.70447246137
2000,206.92112476706458,357869.2001035159
2000,213.6842299435471,365270.01665991975
2000,209.00485767289624,359965.1724410552
2000,223.62219147093384,376794.34826031537
2000,241.93722365937944,401869.8560342481
2000,250.91446174300177,416890.26339926326
2000,267.56406054287095,446054.7057533284
2000,192.4554063070897,351799.56278879335
2000,261.3443524447198,435059.4410308557
2000,195.40336118818948,351205.0051043896
2000,217.45093418963876,369565.9994419784
2000,190.92837337821135,351357.3673540825
