beta,makespan,labor_cost
0.3,195.79071366008583,621334.0759916869
0.3,201.95361513040544,589646.407787311
0.3,227.66355488395956,545275.783918144
0.3,211.00276403202722,560213.2987628143
0.3,196.93043590519702,613845.2709098135
0.3,203.67488171578768,582267.7806493309
0.3,220.12005055273906,550795.4874462787
0.3,201.88210362031913,589942.9108850366
0.3,207.60866237126712,567664.0170654159
0.3,197.72485791959167,609444.7288999527
0.3,206.8716754689335,570514.5408059076
0.3,203.68712259333324,582117.2977737227
0.3,206.1575310199212,573049.8617432271
0.3,196.8469195834668,614254.1209346979
0.3,226.4834758837706,546193.0725291149
0.3,198.19252600523228,606605.8453441751
0.3,228.0205975414802,544976.8031732177
0.3,200.4918092841757,595677.346621704
0.3,196.0794556715419,619392.6046458613
0.3,196.10095252473715,619224.4395335454
0.3,206.26290490450106,572777.1938094862
0.3,226.03770227438875,546495.5493891954
0.3,205.96327303775632,573731.1054619385
0.3,197.6917151476192,609556.7431569837
0.3,206.96109517593024,570274.2767908244
0.3,222.71724689739517,548643.4942485369
0.3,200.4281163754702,595847.156557241
0.3,216.01728017684496,554526.3447729585
0.3,221.92156615365298,548937.7855131408
0.3,202.6464040937959,586548.4508225366
0.3,203.5724574700264,582710.907480327
0.3,206.62353336842622,571303.0119043164
0.3,202.1782949775014,588536.3383894763
0.3,199.25011401483204,601442.6601765759
0.3,203.24062036706692,584137.3106735573
0.3,207.10421010789008,569590.0052059634
0.3,202.18636397583964,588514.5161082353
0.3,206.23730913756768,572814.1173103384
0.3,197.74150225509752,609294.0791299242
0.3,196.07380325829206,619398.0971746936
0.3,206.93779274205977,570289.2995258656
0.3,202.7208911627848,586242.0412421507
0.3,198.5860347495385,604927.4105337837
0.3,208.63185374856505,565084.41972496
0.3,208.28927972837897,565786.4121792384
0.3,196.65938594082576,615499.6667631633
0.3,197.73116642530243,609392.8811589596
0.3,205.91037731291024,574289.2308001318
0.3,210.90127190543583,560337.9208962282
0.3,202.7806176368514,586230.1960562458
0.3,205.95996796163595,573766.7667430972
0.3,200.10569698093752,597432.0685294954
0.3,198.9968167226867,602818.0770835017
0.3,205.7799881469955,574479.489476748
0.3,197.52723146733226,610262.3904367709
0.3,201.86985773837077,589984.0133839028
0.3,226.80454368759965,545947.8648333888
0.3,228.52250833621702,544527.7368894393
0.3,196.59189291792694,616013.0331725961
0.3,204.072577042811,580843.2229133061
0.3,227.48242465344387,545540.2150612434
0.3,200.3308441709492,596477.0205149024
0.3,219.60192521658868,551611.5964429819
0.3,219.14983044911605,551933.9168760194
0.3,208.6810935812912,564752.4769909113
0.3,221.85500552339326,548952.4952504945
0.3,203.65889938601694,582306.0845163567
0.3,196.33022874576534,618020.4694136846
0.3,198.41537086515535,606033.6204672862
0.3,206.86811514683063,570521.165764264
0.3,200.36695439688404,596403.1073741163
0.6,188.2148795809174,607802.0716890156
0.6,233.68556075749558,546395.2442233843
0.6,233.60341168534566,546434.4818448689
0.6,233.71750930473561,546328.2870258717
0.6,233.62062268574923,546426.938746456
0.6,211.7039431199501,563497.7672296774
0.6,191.5701013213716,595863.311948139
0.6,188.2673112546288,607521.2701433905
0.6,188.22079100213944,607801.9213092532
0.6,190.0575607142629,601589.2467174543
0.6,223.92816191675067,552771.7762151521
0.6,193.46354434371054,590897.4094029549
0.6,191.62291502616142,595714.9732032261
0.6,249.97959429777194,539189.3009841049
0.6,191.29137073087102,596047.5327694826
0.6,191.62365556091316,595711.9009110751
0.6,223.80719281728886,553014.0077664527
0.6,207.89588197857717,567862.6536017212
0.6,188.96932332618564,603731.098625181
0.6,206.29929612781356,570310.6162746438
0.6,191.06025598344814,597704.2183477627
0.6,223.9049040259831,552798.9826199801
0.6,208.70111095948144,567252.9869828164
0.6,193.9391157432072,590337.613691611
0.6,200.13974823739704,579086.022086025
0.6,222.76816412281656,554242.3781332618
0.6,217.0283420944791,558218.6759421331
0.6,187.6441092921121,608967.6913611802
0.6,234.32805311739043,545719.9081801297
0.6,213.03330106402495,561565.689481859
0.6,188.93232455614347,603740.9098906463
0.6,188.2082591799565,607917.8675291449
0.6,229.2348266956729,549023.0641197497
0.6,189.99765274029662,602007.5816579433
0.6,189.29499337833562,602470.4792055222
0.6,207.51254207226765,568308.4918336172
0.6,208.12355200896147,567782.9737074145
0.6,188.55267963314387,605215.5586159825
0.6,190.4249482221974,599644.0175259835
0.6,187.52256530450512,609627.1722441271
