alpha,beta,c_early,c_late,T_max,makespan,total_cost,net_cost
0.6,0.2,2000,5000,250,264.23183998910457,628426.4585699618,628426.4585699618
0.6,0.4,2000,5000,250,249.98586781258814,567079.0234922942,567079.0234922942
0.6,0.3,2000,5000,250,250.00715454932455,590130.3228453083,590130.3228453083
0.6,0.5,2000,5000,250,240.23797600497852,551701.4444873608,551701.4444873608
0.6,0.6,2000,5000,250,230.23864279210764,537362.39512711,537362.39512711
0.6,0.7,2000,5000,250,222.061497775826,520235.79930635984,520235.79930635984
0.6,0.8,2000,5000,250,217.18018029185842,505326.82795638597,505326.82795638597
0.6,1.0,2000,5000,250,206.8023791802956,466545.77863982896,466545.77863982896
0.6,0.9,2000,5000,250,211.39239046271666,488161.3028727939,488161.3028727939
0.7,0.1,2000,5000,250,263.8115842514605,585039.7515838586,585039.7515838586
0.7,0.2,2000,5000,250,254.351947001101,572712.339032509,572712.339032509
0.7,0.3,2000,5000,250,249.99802421504546,548123.051971059,548123.051971059
0.7,0.4,2000,5000,250,246.62901624552825,536886.1400222371,536886.1400222371
0.7,0.5,2000,5000,250,232.0071156404937,523137.97866380826,523137.97866380826
0.7,0.6,2000,5000,250,223.52540403940023,510847.50868115725,510847.50868115725
0.7,0.7,2000,5000,250,219.4189089918727,499600.03609816293,499600.03609816293
0.7,0.8,2000,5000,250,213.60294850209118,485292.48105454363,485292.48105454363
0.7,0.9,2000,5000,250,209.89145872035428,474168.26714276284,474168.26714276284
0.7,1.0,2000,5000,250,202.7884059267585,452295.8104589967,452295.8104589967
0.8,0.1,2000,5000,250,256.0187042152701,538226.2650752364,538226.2650752364
0.8,0.2,2000,5000,250,249.9986356952625,523787.9275658959,523787.9275658959
0.8,0.3,2000,5000,250,249.98693000929714,518058.2593587255,518058.2593587255
0.8,0.4,2000,5000,250,239.3208759207435,512298.15068828745,512298.15068828745
0.8,0.5,2000,5000,250,226.22777797635726,501559.7570130016,501559.7570130016
0.8,0.6,2000,5000,250,226.80768306938276,501059.68610520713,501059.68610520713
0.8,0.7,2000,5000,250,217.51554037897984,483421.8257614567,483421.8257614567
0.8,0.8,2000,5000,250,212.48132672282526,473015.1191962865,473015.1191962865
0.8,0.9,2000,5000,250,209.0660443854076,463673.22870654997,463673.22870654997
0.8,1.0,2000,5000,250,204.74525779098977,444343.39447874005,444343.39447874005
0.9,0.1,2000,5000,250,247.51300537654325,494531.35983713664,494531.35983713664
0.9,0.2,2000,5000,250,246.9920133073517,494291.24053289916,494291.24053289916
0.9,0.4,2000,5000,250,232.92953750198393,495040.9275728238,495040.9275728238
0.9,0.3,2000,5000,250,246.41187078571497,494680.2823571151,494680.2823571151
