alpha,beta,c_early,c_late,T_max,makespan,total_cost,net_cost
0.7,0.7,1000.0,2500.0,250,236.0731372046278,523868.36463169596,523868.36463169596
0.7,0.7,1500.0,2500.0,250,221.5609793217319,513152.33313018625,513152.33313018625
0.7,0.7,2000.0,2500.0,250,218.34932142126237,499420.8847034679,499420.8847034679
0.7,0.7,2500.0,2500.0,250,216.67590262505053,482323.48717037647,482323.48717037647
0.7,0.7,3000.0,2500.0,250,214.55559283923725,463426.587896562,463426.587896562
0.7,0.7,3500.0,2500.0,250,214.1027669932893,445289.1150822483,445289.1150822483
0.7,0.7,4000.0,2500.0,250,213.3244339323631,425413.10621571296,425413.10621571296
0.7,0.7,4500.0,2500.0,250,212.63554766870422,405027.46526620165,405027.46526620165
0.7,0.7,5000.0,2500.0,250,213.78612462797892,390111.8623103108,390111.8623103108
0.7,0.7,0.0,3000.0,250,249.98456379605472,526884.044157583,526884.044157583
0.7,0.7,1000.0,3000.0,250,242.02324273165632,524470.621718702,524470.621718702
0.7,0.7,500.0,3000.0,250,249.97746621215225,525126.4488783735,525126.4488783735
0.7,0.7,1500.0,3000.0,250,222.53378206266794,513656.3177173895,513656.3177173895
0.7,0.7,2000.0,3000.0,250,217.06901760013363,497822.9400327303,497822.9400327303
0.7,0.7,2500.0,3000.0,250,214.97320020043512,481650.7155357763,481650.7155357763
0.7,0.7,3000.0,3000.0,250,214.49474496552338,462701.39877054974,462701.39877054974
0.7,0.7,3500.0,3000.0,250,213.88460153785212,444758.5417922342,444758.5417922342
0.7,0.7,4000.0,3000.0,250,212.9120470031333,424163.49160541693,424163.49160541693
0.7,0.7,4500.0,3000.0,250,212.56430750024168,405860.0301165258,405860.0301165258
0.7,0.7,5000.0,3000.0,250,212.37400362019804,386104.5013393564,386104.5013393564
0.7,0.7,0.0,3500.0,250,249.99455116244374,525722.9608858926,525722.9608858926
0.7,0.7,500.0,3500.0,250,250.00088404339024,524832.3140302893,524832.3140302893
0.7,0.7,2000.0,3500.0,250,218.5340931287471,498992.7435161588,498992.7435161588
0.7,0.7,1500.0,3500.0,250,220.6331305276115,512839.08365699416,512839.08365699416
0.7,0.7,1000.0,3500.0,250,235.92004039473386,523036.4326016083,523036.4326016083
0.7,0.7,2500.0,3500.0,250,214.41205919237427,479577.43741117854,479577.43741117854
