beta,makespan,labor_cost,total_cost
0.6,286.6753838428582,505670.9310611072,505670.9310611072
0.6,239.48287813283562,542257.4226100656,542257.4226100656
0.6,233.841334136141,549292.1122184611,549292.1122184611
0.6,259.29031069778114,520248.9237410621,520248.9237410621
0.6,233.7972064425082,549378.7382056451,549378.7382056451
0.6,239.10314294239743,542606.8218011794,542606.8218011794
0.6,290.17778943992226,504816.12204555655,504816.12204555655
0.6,244.38712070263773,536088.254153378,536088.254153378
0.6,225.76213947028597,563249.617573486,563249.617573486
0.6,263.95293506033187,516784.0357336026,516784.0357336026
0.6,286.578687157959,505701.027844297,505701.027844297
0.6,226.92751964785333,560431.0248271213,560431.0248271213
0.6,237.0766783481357,545378.1042003811,545378.1042003811
0.6,272.7274019360876,511367.3829896272,511367.3829896272
0.6,272.21024143533714,511518.8386230427,511518.8386230427
0.6,239.1878823092887,542582.9502782391,542582.9502782391
0.6,227.9256956492138,558312.8976539103,558312.8976539103
0.6,271.53833150200506,511957.19261882827,511957.19261882827
0.6,265.5601694494414,515619.78136794124,515619.78136794124
0.6,241.43535634099658,539361.9805197911,539361.9805197911
0.6,245.14175955543635,535441.8905255088,535441.8905255088
0.6,247.16620346804402,532902.4078408317,532902.4078408317
0.6,256.9122329155212,522510.00719684764,522510.00719684764
0.6,290.9544119969354,504667.27841427625,504667.27841427625
0.6,292.1341322417368,504308.0319620628,504308.0319620628
0.6,225.71415253609865,563610.5054209443,563610.5054209443
0.6,235.99091334873893,546553.1839284175,546553.1839284175
0.6,227.4898247497004,559546.4680688451,559546.4680688451
0.6,229.22736761702345,555813.2234093284,555813.2234093284
0.6,225.56272809121546,563964.2168408046,563964.2168408046
0.6,282.2981894659579,507012.82756135165,507012.82756135165
0.6,226.15523933103847,562471.3249603274,562471.3249603274
0.6,265.83255561908527,515486.54526499077,515486.54526499077
0.6,242.75688206345262,538167.8892892557,538167.8892892557
0.6,273.41945137292606,510896.32640650135,510896.32640650135
0.6,240.58033795185563,540538.9717874655,540538.9717874655
0.6,255.25469029092514,524505.3692567409,524505.3692567409
0.6,263.9655968876731,516769.93079448736,516769.93079448736
0.6,224.05755207063686,568844.2206853422,568844.2206853422
0.6,231.47810662209085,552471.8567744021,552471.8567744021
0.6,242.16445516351246,538621.1720740001,538621.1720740001
0.6,240.1891286056079,541130.2714461624,541130.2714461624
0.6,278.6632043407358,508061.48077845335,508061.48077845335
0.6,289.7075192888437,504864.36776762723,504864.36776762723
0.6,241.7829114555234,538978.1241384689,538978.1241384689
0.6,290.16781805721513,504831.89755890344,504831.89755890344
0.6,230.37693555792706,554138.7903972876,554138.7903972876
0.6,248.30540378444198,531919.113000209,531919.113000209
0.6,229.50522882833937,555522.8654211869,555522.8654211869
0.6,236.89006279667348,545425.810078055,545425.810078055
0.6,271.97821524540393,511745.2806920853,511745.2806920853
0.6,272.64043787187995,511392.4145806129,511392.4145806129
0.6,241.11620355657652,539664.2277024351,539664.2277024351
0.6,242.16445516351246,538621.1720740001,538621.1720740001
0.6,232.67361046077534,550813.824624671,550813.824624671
0.6,283.3485325277225,506540.34767407255,506540.34767407255
0.6,228.26982046750413,557469.8179076923,557469.8179076923
