c_late,c_early,makespan,total_crash_cost,penalty_applied,bonus_applied,net_cost,status
0.0,181.81818181818184,202,4330.0,0.0,7454.545454545456,-3124.545454545456,OPTIMAL
0.0,183.83838383838386,202,4330.0,0.0,7537.373737373739,-3207.3737373737385,OPTIMAL
0.0,185.85858585858588,202,4330.0,0.0,7620.202020202021,-3290.2020202020212,OPTIMAL
0.0,187.8787878787879,202,4330.0,0.0,7703.030303030304,-3373.030303030304,OPTIMAL
0.0,189.89898989898992,202,4330.0,0.0,7785.858585858587,-3455.8585858585866,OPTIMAL
0.0,191.91919191919195,202,4330.0,0.0,7868.68686868687,-3538.68686868687,OPTIMAL
0.0,193.93939393939394,202,4330.0,0.0,7951.515151515151,-3621.515151515151,OPTIMAL
0.0,195.95959595959596,202,4330.0,0.0,8034.343434343435,-3704.3434343434346,OPTIMAL
0.0,197.97979797979798,202,4330.0,0.0,8117.171717171717,-3787.1717171717173,OPTIMAL
0.0,200.0,202,4330.0,0.0,8200.0,-3870.0,OPTIMAL
0.0,161.61616161616163,212,2530.0,0.0,5010.101010101011,-2480.1010101010106,OPTIMAL
0.0,163.63636363636365,212,2530.0,0.0,5072.727272727273,-2542.727272727273,OPTIMAL
0.0,165.65656565656568,212,2530.0,0.0,5135.353535353536,-2605.3535353535362,OPTIMAL
0.0,167.6767676767677,212,2530.0,0.0,5197.979797979799,-2667.9797979797986,OPTIMAL
0.0,169.69696969696972,212,2530.0,0.0,5260.606060606061,-2730.606060606061,OPTIMAL
0.0,171.71717171717174,212,2530.0,0.0,5323.232323232324,-2793.2323232323242,OPTIMAL
0.0,173.73737373737376,212,2530.0,0.0,5385.858585858587,-2855.8585858585866,OPTIMAL
0.0,175.75757575757578,212,2530.0,0.0,5448.484848484849,-2918.484848484849,OPTIMAL
0.0,177.7777777777778,212,2530.0,0.0,5511.111111111112,-2981.111111111112,OPTIMAL
0.0,179.79797979797982,212,2530.0,0.0,5573.737373737375,-3043.7373737373746,OPTIMAL
1.5151515151515151,101.01010101010101,217,1980.0,0.0,2626.2626262626263,-646.2626262626263,OPTIMAL
1.5151515151515151,103.03030303030303,217,1980.0,0.0,2678.787878787879,-698.787878787879,OPTIMAL
1.5151515151515151,105.05050505050505,217,1980.0,0.0,2731.313131313131,-751.3131313131312,OPTIMAL
1.5151515151515151,107.07070707070707,217,1980.0,0.0,2783.838383838384,-803.8383838383838,OPTIMAL
1.5151515151515151,109.0909090909091,217,1980.0,0.0,2836.3636363636365,-856.3636363636365,OPTIMAL
1.5151515151515151,111.11111111111111,212,2530.0,0.0,3444.4444444444443,-914.4444444444443,OPTIMAL
1.5151515151515151,113.13131313131314,212,2530.0,0.0,3507.070707070707,-977.0707070707072,OPTIMAL
1.5151515151515151,115.15151515151516,212,2530.0,0.0,3569.69696969697,-1039.69696969697,OPTIMAL
1.5151515151515151,117.17171717171718,212,2530.0,0.0,3632.3232323232323,-1102.3232323232323,OPTIMAL
1.5151515151515151,119.1919191919192,212,2530.0,0.0,3694.949494949495,-1164.9494949494951,OPTIMAL
4.545454545454545,0.0,249,0.0,27.27272727272727,0.0,27.27272727272727,OPTIMAL
4.545454545454545,2.0202020202020203,249,0.0,27.27272727272727,0.0,27.27272727272727,OPTIMAL
4.545454545454545,4.040404040404041,249,0.0,27.27272727272727,0.0,27.27272727272727,OPTIMAL
4.545454545454545,6.0606060606060606,249,0.0,27.27272727272727,0.0,27.27272727272727,OPTIMAL
4.545454545454545,8.080808080808081,249,0.0,27.27272727272727,0.0,27.27272727272727,OPTIMAL
4.545454545454545,10.101010101010102,249,0.0,27.27272727272727,0.0,27.27272727272727,OPTIMAL
4.545454545454545,12.121212121212121,249,0.0,27.27272727272727,0.0,27.27272727272727,OPTIMAL
4.545454545454545,14.141414141414142,249,0.0,27.27272727272727,0.0,27.27272727272727,OPTIMAL
4.545454545454545,16.161616161616163,249,0.0,27.27272727272727,0.0,27.27272727272727,OPTIMAL
4.545454545454545,18.181818181818183,249,0.0,27.27272727272727,0.0,27.27272727272727,OPTIMAL
4.545454545454545,20.202020202020204,249,0.0,27.27272727272727,0.0,27.27272727272727,OPTIMAL
4.545454545454545,22.222222222222225,249,0.0,27.27272727272727,0.0,27.27272727272727,OPTIMAL
4.545454545454545,24.242424242424242,249,0.0,27.27272727272727,0.0,27.27272727272727,OPTIMAL
4.545454545454545,26.262626262626263,249,0.0,27.27272727272727,0.0,27.27272727272727,OPTIMAL
4.545454545454545,28.282828282828284,249,0.0,27.27272727272727,0.0,27.27272727272727,OPTIMAL
4.545454545454545,30.303030303030305,249,0.0,27.27272727272727,0.0,27.27272727272727,OPTIMAL
4.545454545454545,32.323232323232325,249,0.0,27.27272727272727,0.0,27.27272727272727,OPTIMAL
4.545454545454545,34.343434343434346,249,0.0,27.27272727272727,0.0,27.27272727272727,OPTIMAL
4.545454545454545,36.36363636363637,249,0.0,27.27272727272727,0.0,27.27272727272727,OPTIMAL
4.545454545454545,38.38383838383839,249,0.0,27.27272727272727,0.0,27.27272727272727,OPTIMAL
1.5151515151515151,181.81818181818184,202,4330.0,0.0,7454.545454545456,-3124.545454545456,OPTIMAL
1.5151515151515151,183.83838383838386,202,4330.0,0.0,7537.373737373739,-3207.3737373737385,OPTIMAL
1.5151515151515151,185.85858585858588,202,4330.0,0.0,7620.202020202021,-3290.2020202020212,OPTIMAL
1.5151515151515151,187.8787878787879,202,4330.0,0.0,7703.030303030304,-3373.030303030304,OPTIMAL
1.5151515151515151,189.89898989898992,202,4330.0,0.0,7785.858585858587,-3455.8585858585866,OPTIMAL
1.5151515151515151,191.91919191919195,202,4330.0,0.0,7868.68686868687,-3538.68686868687,OPTIMAL
1.5151515151515151,193.93939393939394,202,4330.0,0.0,7951.515151515151,-3621.515151515151,OPTIMAL
1.5151515151515151,195.95959595959596,202,4330.0,0.0,8034.343434343435,-3704.3434343434346,OPTIMAL
1.5151515151515151,197.97979797979798,202,4330.0,0.0,8117.171717171717,-3787.1717171717173,OPTIMAL
1.5151515151515151,200.0,202,4330.0,0.0,8200.0,-3870.0,OPTIMAL
0.0,121.21212121212122,212,2530.0,0.0,3757.575757575758,-1227.575757575758,OPTIMAL
0.0,123.23232323232324,212,2530.0,0.0,3820.2020202020203,-1290.2020202020203,OPTIMAL
0.0,125.25252525252526,212,2530.0,0.0,3882.828282828283,-1352.8282828282831,OPTIMAL
0.0,127.27272727272728,212,2530.0,0.0,3945.4545454545455,-1415.4545454545455,OPTIMAL
0.0,129.2929292929293,212,2530.0,0.0,4008.0808080808083,-1478.0808080808083,OPTIMAL
0.0,131.31313131313132,212,2530.0,0.0,4070.707070707071,-1540.7070707070711,OPTIMAL
0.0,133.33333333333334,212,2530.0,0.0,4133.333333333334,-1603.333333333334,OPTIMAL
0.0,135.35353535353536,212,2530.0,0.0,4195.959595959596,-1665.9595959595963,OPTIMAL
0.0,137.37373737373738,212,2530.0,0.0,4258.585858585859,-1728.5858585858587,OPTIMAL
0.0,139.3939393939394,212,2530.0,0.0,4321.212121212122,-1791.212121212122,OPTIMAL
1.5151515151515151,141.41414141414143,212,2530.0,0.0,4383.838383838384,-1853.8383838383843,OPTIMAL
1.5151515151515151,143.43434343434345,212,2530.0,0.0,4446.464646464647,-1916.4646464646466,OPTIMAL
1.5151515151515151,145.45454545454547,212,2530.0,0.0,4509.09090909091,-1979.09090909091,OPTIMAL
1.5151515151515151,147.4747474747475,212,2530.0,0.0,4571.717171717172,-2041.7171717171723,OPTIMAL
1.5151515151515151,149.4949494949495,212,2530.0,0.0,4634.343434343435,-2104.3434343434346,OPTIMAL
1.5151515151515151,151.51515151515153,212,2530.0,0.0,4696.969696969697,-2166.969696969697,OPTIMAL
1.5151515151515151,153.53535353535355,212,2530.0,0.0,4759.59595959596,-2229.5959595959603,OPTIMAL
1.5151515151515151,155.55555555555557,212,2530.0,0.0,4822.222222222223,-2292.2222222222226,OPTIMAL
1.5151515151515151,157.5757575757576,212,2530.0,0.0,4884.848484848485,-2354.848484848485,OPTIMAL
1.5151515151515151,159.5959595959596,212,2530.0,0.0,4947.474747474748,-2417.4747474747483,OPTIMAL
