alpha,makespan,labor_cost,total_cost
0.3,288.9597336052426,522246.5890782757,522246.5890782757
0.3,266.76660815770435,551221.21194032,551221.21194032
0.3,300.136538431213,513917.20701734826,513917.20701734826
0.3,276.4323682260224,536684.4334933058,536684.4334933058
0.3,246.1670080974905,594477.8379808103,594477.8379808103
0.3,270.3328112286208,545961.4860158074,545961.4860158074
0.3,276.3396371784332,536876.8872590605,536876.8872590605
0.3,308.2773610888707,509448.0961497271,509448.0961497271
0.3,286.4746704497266,525294.717734201,525294.717734201
0.3,250.10372546662393,583398.2672335298,583398.2672335298
0.3,250.1707729798292,583109.0145304347,583109.0145304347
0.3,245.74003506693327,596381.2309230154,596381.2309230154
0.3,286.8589342436285,524618.6748945224,524618.6748945224
0.3,255.7148117173656,570328.1198209419,570328.1198209419
0.3,291.7513170827617,519545.29914771474,519545.29914771474
0.3,284.34591151852004,527510.2193010817,527510.2193010817
0.3,245.90229835672085,595913.4250582353,595913.4250582353
0.3,274.9873717706024,538745.1247814328,538745.1247814328
0.3,269.33855405506375,548088.1561163518,548088.1561163518
0.3,273.1731837358023,541429.7807894174,541429.7807894174
0.3,255.46768507323551,570794.1093157639,570794.1093157639
0.3,270.6322423402103,545742.776690819,545742.776690819
0.3,275.4768694154147,538422.5797588367,538422.5797588367
0.3,248.9568017577227,586070.0186179271,586070.0186179271
0.3,245.0843803334794,599150.7737270158,599150.7737270158
0.3,252.3043941759271,577898.2831245252,577898.2831245252
0.3,257.3644945971237,566439.8431069283,566439.8431069283
0.3,261.07912699608283,560178.1710918215,560178.1710918215
0.3,267.1274595686616,550897.4928986859,550897.4928986859
0.3,275.758385106252,538262.4095658374,538262.4095658374
0.3,309.83319939164426,508697.5705921049,508697.5705921049
0.3,257.08715533706385,567208.4177763945,567208.4177763945
0.3,295.59596458187247,516551.2160582967,516551.2160582967
0.3,248.66644011430338,587353.712073314,587353.712073314
0.3,253.7261603061959,574294.8237227155,574294.8237227155
0.3,285.321543008579,526222.2336934814,526222.2336934814
0.3,242.53824360525718,610509.314650285,610509.314650285
0.3,257.52072596451546,566394.865648086,566394.865648086
0.3,267.8128205409175,549491.3840771071,549491.3840771071
0.3,250.85489013007862,580934.5606578821,580934.5606578821
0.3,256.8643719497462,567553.938042688,567553.938042688
0.3,265.55752684295186,552685.9691755326,552685.9691755326
0.3,250.20235692250242,583062.5925442236,583062.5925442236
0.3,307.58195173295167,509765.3874268451,509765.3874268451
0.3,251.66173580306315,579305.4198436999,579305.4198436999
0.3,242.8923419083054,608890.2608977746,608890.2608977746
0.3,311.8236326884963,507458.8976667153,507458.8976667153
0.3,270.3335569834346,545934.0656093396,545934.0656093396
0.3,293.31617965849307,518290.3230763674,518290.3230763674
0.3,286.11401769397213,525423.4668564543,525423.4668564543
0.3,289.025432652207,522040.501330888,522040.501330888
